benchmark,solver,status,cpu time,wallclock time,memory usage,result,exprs-details,syntax-error,adheres,smt-result,exprs-total-size,correct,,,
General-Track/array_sum_10_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.01,3486.8,35200000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,CVC4-1.5-syguscomp2015-v4,complete,19.914,17.0921,345560,correct,(findSum 870097),-,1,sat,870097,1,,,
General-Track/array_sum_10_5.sl,Enumerative Solver,timeout (cpu),3600.05,3598.51,8499600,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,sketch-ac-tmp,timeout (wallclock),7107.61,3600.09,36300000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,Sosy Toast,timeout (cpu),3600.03,3598.51,381940,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,Sosy Toast Variant 2,timeout (cpu),3600.03,3598.51,381944,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,stoch-2015-06-23-00-02,timeout (cpu),3600.05,3599.71,229340,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_10_5.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.05,3486.2,35200000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_15.sl,CVC4-1.5-syguscomp2015-v4,complete,0.010997,0.012219,0,correct,(findSum 24),-,1,sat,24,1,,,
General-Track/array_sum_2_15.sl,sketch-ac-tmp,complete,536.846,284.859,35400000,correct,(findSum 24),-,1,sat,24,1,,,
General-Track/array_sum_2_15.sl,Enumerative Solver,timeout (cpu),3600.08,3598.31,1339988,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_15.sl,Sosy Toast,timeout (wallclock),3575.67,3600.02,2443336,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_15.sl,Sosy Toast Variant 2,timeout (wallclock),3576.06,3600.02,2457316,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_15.sl,stoch-2015-06-23-00-02,complete,17.6193,17.6425,196572,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_15.sl,sygus-sketch-new-bug-fix,timeout (cpu),3600.07,3526.73,34800000,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_5.sl,sketch-ac-tmp,complete,20.6219,8.37233,35100000,correct,(findSum 21),-,1,sat,21,1,,,
General-Track/array_sum_2_5.sl,sygus-sketch-new-bug-fix,complete,9.90949,7.07884,34400000,correct,(findSum 16),-,1,sat,16,1,,,
General-Track/array_sum_2_5.sl,CVC4-1.5-syguscomp2015-v4,complete,0.010997,0.012105,0,correct,(findSum 14),-,1,sat,14,1,,,
General-Track/array_sum_2_5.sl,Enumerative Solver,complete,12.5601,12.5556,221632,correct,(findSum 14),-,1,sat,14,1,,,
General-Track/array_sum_2_5.sl,Sosy Toast,timeout (wallclock),3579.35,3600.02,2447484,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
General-Track/array_sum_2_5.sl,Sosy Toast Variant 2,timeout (wallclock),3576.85,3600.02,2460760,unsolved,(findSum -1),-, n/a (not all solved),not-run,0,0,,,
